x_parameter,dataset,competitor,metric
0.2,MelbournePedestrian,dqn_sr,1.9226797810701326
0.2,MelbournePedestrian,stopping_rule,1.9226797810701326
0.2,MelbournePedestrian,proba_threshold,1.9226797810701326
0.2,ParkingBirmingham_eq,dqn,5.1316968980110715
0.2,ParkingBirmingham_eq,dqn_sr,5.1316968980110715
0.2,ParkingBirmingham_eq,stopping_rule,5.1316968980110715
0.2,ParkingBirmingham_eq,proba_threshold,5.1316968980110715
0.2,PLAID,dqn,1.5488943287219898
0.2,PLAID,dqn_sr,1.609650772587518
0.2,PLAID,stopping_rule,1.535075279614065
0.2,PLAID,proba_threshold,1.7061566899279665
0.2,PrecipitationAndalusia_nmv,dqn,3.961812395227143
0.2,PrecipitationAndalusia_nmv,dqn_sr,3.989983134660255
0.2,PrecipitationAndalusia_nmv,stopping_rule,3.6335846270624446
0.2,PrecipitationAndalusia_nmv,proba_threshold,3.956413622306553
0.2,Rock,dqn,3.903683926219876
0.2,Rock,dqn_sr,3.98191272053839
0.2,Rock,stopping_rule,2.0666878440671614
0.2,Rock,proba_threshold,4.054144589065133
0.2,SemgHandGenderCh2,dqn,3.953860093464589
0.2,SemgHandGenderCh2,dqn_sr,3.6350828318172286
0.2,SemgHandGenderCh2,stopping_rule,3.9407987731416934
0.2,SemgHandGenderCh2,proba_threshold,3.9308574661150915
0.2,SmoothSubspace,dqn,4.504151779369488
0.2,SmoothSubspace,dqn_sr,4.504151779369488
0.2,SmoothSubspace,stopping_rule,4.504151779369488
0.2,SmoothSubspace,proba_threshold,4.504151779369488
0.2,SolarRadiationAndalusia_nmv,dqn,5.076121748521641
0.2,SolarRadiationAndalusia_nmv,dqn_sr,5.433373038236175
0.2,SolarRadiationAndalusia_nmv,stopping_rule,5.079971589219654
0.2,SolarRadiationAndalusia_nmv,proba_threshold,5.076121748521641
0.2,SteamPredictor,dqn,5.023841771198363
0.2,SteamPredictor,dqn_sr,5.482722802840067
0.2,SteamPredictor,stopping_rule,4.925721271308089
0.2,SteamPredictor,proba_threshold,5.045586475359075
0.2,TetuanEnergyConsumption,dqn,5.03687609564827
0.2,TetuanEnergyConsumption,dqn_sr,5.05626835674518
0.2,TetuanEnergyConsumption,stopping_rule,5.03687609564827
0.2,TetuanEnergyConsumption,proba_threshold,5.03687609564827
0.2,UMD,dqn,4.5964308558672755
0.2,UMD,dqn_sr,4.036017714342427
0.2,UMD,stopping_rule,4.826540781089827
0.2,UMD,proba_threshold,4.5964308558672755
0.2,WindTurbinePower,dqn,4.3745484432355735
0.2,WindTurbinePower,dqn_sr,4.503415978751901
0.2,WindTurbinePower,stopping_rule,4.401787258346153
0.2,WindTurbinePower,proba_threshold,5.017614732011907
0.3,AcousticContaminationMadrid_nmv,dqn,6.309443273341142
0.3,AcousticContaminationMadrid_nmv,dqn_sr,6.427126514901447
0.3,AcousticContaminationMadrid_nmv,stopping_rule,6.3375271380477525
0.3,AcousticContaminationMadrid_nmv,proba_threshold,6.3375271380477525
0.3,AluminiumConcentration,dqn,7.116795904552282
0.3,AluminiumConcentration,dqn_sr,7.23294681426879
0.3,AluminiumConcentration,stopping_rule,7.140314097252547
0.3,AluminiumConcentration,proba_threshold,6.914431839542923
0.3,BitcoinSentiment,dqn,5.26945948733545
0.3,BitcoinSentiment,dqn_sr,5.26945948733545
0.3,BitcoinSentiment,stopping_rule,5.286539819298465
0.3,BitcoinSentiment,proba_threshold,5.26945948733545
0.3,BME,dqn,1.2477134246792252
0.3,BME,dqn_sr,1.271211566476756
0.3,BME,stopping_rule,1.271211566476756
0.3,BME,proba_threshold,1.2594624955779905
0.3,ChilledWaterPredictor,dqn,6.119774593276829
0.3,ChilledWaterPredictor,dqn_sr,6.437988253177897
0.3,ChilledWaterPredictor,stopping_rule,6.346251557638122
0.3,ChilledWaterPredictor,proba_threshold,5.941025188256669
0.3,Chinatown,dqn,2.6426996604504143
0.3,Chinatown,dqn_sr,2.6403627131419003
0.3,Chinatown,stopping_rule,2.8656214326100704
0.3,Chinatown,proba_threshold,2.742846659438504
0.3,Crop,dqn,1.9902277364731167
0.3,Crop,dqn_sr,1.9028917974120996
0.3,Crop,stopping_rule,2.0307832800683
0.3,Crop,proba_threshold,1.9946248952623582
0.3,DhakaHourlyAirQuality,dqn,3.063071970872829
0.3,DhakaHourlyAirQuality,dqn_sr,3.2323363490759074
0.3,DhakaHourlyAirQuality,stopping_rule,3.1651406467557393
0.3,DhakaHourlyAirQuality,proba_threshold,3.1651406467557393
0.3,DodgerLoopDay,dqn,4.245699198879234
0.3,DodgerLoopDay,dqn_sr,4.202243259730321
0.3,DodgerLoopDay,stopping_rule,2.4948170163259724
0.3,DodgerLoopDay,proba_threshold,3.760691163008532
0.3,ElectricityPredictor,dqn,6.94524426584795
0.3,ElectricityPredictor,dqn_sr,6.94524426584795
0.3,ElectricityPredictor,stopping_rule,6.94524426584795
0.3,ElectricityPredictor,proba_threshold,6.94524426584795
0.3,EOGVerticalSignal,dqn,3.3296615935479634
0.3,EOGVerticalSignal,dqn_sr,3.685374047085489
0.3,EOGVerticalSignal,stopping_rule,3.3296615935479634
0.3,EOGVerticalSignal,proba_threshold,3.471513060652087
0.3,FloodModeling3,dqn,6.60666640303567
0.3,FloodModeling3,dqn_sr,6.60666640303567
0.3,FloodModeling3,stopping_rule,6.60666640303567
0.3,FloodModeling3,proba_threshold,6.60666640303567
0.3,GestureMidAirD1,dqn,2.32536543531474
0.3,GestureMidAirD1,dqn_sr,2.32536543531474
0.3,GestureMidAirD1,stopping_rule,2.32536543531474
0.3,GestureMidAirD1,proba_threshold,2.32536543531474
0.3,GunPointAgeSpan,dqn,3.169642327563785
0.3,GunPointAgeSpan,dqn_sr,2.9687184751957565
0.3,GunPointAgeSpan,stopping_rule,3.046792862760233
0.3,GunPointAgeSpan,proba_threshold,5.652209661509768
0.3,HouseholdPowerConsumption1,dqn,6.85834762307813
0.3,HouseholdPowerConsumption1,dqn_sr,6.3912081700655765
0.3,HouseholdPowerConsumption1,stopping_rule,6.4311307242156674
0.3,HouseholdPowerConsumption1,proba_threshold,6.873263640224684
0.3,HouseTwenty,dqn,2.9404484318115993
0.3,HouseTwenty,dqn_sr,1.1936521870149832
0.3,HouseTwenty,stopping_rule,1.3667736351412734
0.3,HouseTwenty,proba_threshold,4.674763680319138
0.3,HotwaterPredictor,dqn,5.143974757345738
0.3,HotwaterPredictor,dqn_sr,5.143974757345738
0.3,HotwaterPredictor,stopping_rule,5.429065914330048
0.3,HotwaterPredictor,proba_threshold,5.143974757345738
0.3,InsectEPGRegularTrain,dqn,0.8876861372681967
0.3,InsectEPGRegularTrain,dqn_sr,0.8876861372681967
0.3,InsectEPGRegularTrain,stopping_rule,1.62292351878662
0.3,InsectEPGRegularTrain,proba_threshold,0.8876861372681967
0.3,MadridPM10Quality_nmv,dqn,6.904527895489466
0.3,MadridPM10Quality_nmv,dqn_sr,6.920369269715602
0.3,MadridPM10Quality_nmv,stopping_rule,6.904527895489466
0.3,MadridPM10Quality_nmv,proba_threshold,6.904527895489466
0.3,MelbournePedestrian,dqn,3.7038353829734976
0.3,MelbournePedestrian,dqn_sr,2.150120037794164
0.3,MelbournePedestrian,stopping_rule,2.150120037794164
0.3,MelbournePedestrian,proba_threshold,2.150120037794164
0.3,ParkingBirmingham_eq,dqn,7.042260660693072
0.3,ParkingBirmingham_eq,dqn_sr,7.120883306036927
0.3,ParkingBirmingham_eq,stopping_rule,6.87395341199497
0.3,ParkingBirmingham_eq,proba_threshold,6.87395341199497
0.3,PLAID,dqn,1.5474062187356847
0.3,PLAID,dqn_sr,1.5471546954718125
0.3,PLAID,stopping_rule,1.6637910645434033
0.3,PLAID,proba_threshold,1.7068963916126674
0.3,PrecipitationAndalusia_nmv,dqn,5.349527322035644
0.3,PrecipitationAndalusia_nmv,dqn_sr,4.92378496992948
0.3,PrecipitationAndalusia_nmv,stopping_rule,4.606985558580629
0.3,PrecipitationAndalusia_nmv,proba_threshold,5.258272810607342
0.3,Rock,dqn,5.2252472449662
0.3,Rock,dqn_sr,5.390881641096435
0.3,Rock,stopping_rule,1.8559709111778138
0.3,Rock,proba_threshold,5.36285270590818
0.3,SemgHandGenderCh2,dqn,5.249515834473023
0.3,SemgHandGenderCh2,dqn_sr,4.867958015358088
0.3,SemgHandGenderCh2,stopping_rule,3.7660128097490135
0.3,SemgHandGenderCh2,proba_threshold,5.2343720777225
0.3,SmoothSubspace,dqn,6.076549473614968
0.3,SmoothSubspace,dqn_sr,6.076549473614968
0.3,SmoothSubspace,stopping_rule,6.076549473614968
0.3,SmoothSubspace,proba_threshold,6.076549473614968
0.3,SolarRadiationAndalusia_nmv,dqn,6.978735242827724
0.3,SolarRadiationAndalusia_nmv,dqn_sr,6.978735242827724
0.3,SolarRadiationAndalusia_nmv,stopping_rule,6.982103853438485
